Date,Total in hospital (both ICU and non-ICU)
"September 12, 2020",0
"September 11, 2020",0
"September 10, 2020",0
"September 9, 2020",0
"September 8, 2020",0
"September 7, 2020",0
"September 6, 2020",0
"September 5, 2020",0
"September 4, 2020",0
"September 3, 2020",0
"September 2, 2020",0
"September 1, 2020",0
"August 31, 2020",0
"August 30, 2020",0
"August 29, 2020",0
"August 28, 2020",0
"August 27, 2020",0
"August 26, 2020",0
"August 25, 2020",0
"August 24, 2020",0
"August 23, 2020",0
"August 22, 2020",1
"August 21, 2020",1
"August 20, 2020",0
"August 19, 2020",0
"August 18, 2020",0
"August 17, 2020",0
"August 16, 2020",0
"August 15, 2020",0
"August 14, 2020",0
"August 13, 2020",0
"August 12, 2020",0
"August 11, 2020",0
"August 10, 2020",0
"August 9, 2020",0
"August 8, 2020",0
"August 7, 2020",0
"August 6, 2020",0
"August 5, 2020",0
"August 4, 2020",0
"August 3, 2020",0
"August 2, 2020",0
"August 1, 2020",0
"July 31, 2020",0
"July 30, 2020",0
"July 29, 2020",0
"July 28, 2020",0
"July 27, 2020",0
"July 26, 2020",0
"July 25, 2020",0
"July 24, 2020",0
"July 23, 2020",0
"July 22, 2020",0
"July 21, 2020",0
"July 20, 2020",0
"July 19, 2020",0
"July 18, 2020",0
"July 17, 2020",0
"July 16, 2020",1
"July 15, 2020",1
"July 14, 2020",1
"July 13, 2020",1
"July 12, 2020",1
"July 11, 2020",1
"July 10, 2020",1
"July 9, 2020",1
"July 8, 2020",1
"July 7, 2020",2
"July 6, 2020",2
"July 5, 2020",2
"July 4, 2020",2
"July 3, 2020",2
"July 2, 2020",2
"July 1, 2020",2
"June 30, 2020",2
"June 29, 2020",2
"June 28, 2020",2
"June 27, 2020",2
"June 26, 2020",2
"June 25, 2020",2
"June 24, 2020",2
"June 23, 2020",2
"June 22, 2020",1
"June 21, 2020",2
"June 20, 2020",2
"June 19, 2020",2
"June 18, 2020",2
"June 17, 2020",2
"June 16, 2020",2
"June 15, 2020",2
"June 14, 2020",2
"June 13, 2020",2
"June 12, 2020",2
"June 11, 2020",2
"June 10, 2020",2
"June 9, 2020",0
"June 8, 2020",0
"June 7, 2020",3
"June 6, 2020",3
"June 5, 2020",3
"June 4, 2020",3
"June 3, 2020",4
"June 2, 2020",5
"June 1, 2020",6
"May 31, 2020",7
"May 30, 2020",7
"May 29, 2020",8
"May 28, 2020",8
"May 27, 2020",7
"May 26, 2020",7
"May 25, 2020",6
"May 24, 2020",6
"May 23, 2020",6
"May 22, 2020",8
"May 21, 2020",9
"May 20, 2020",8
"May 19, 2020",9
"May 18, 2020",8
"May 17, 2020",8
"May 16, 2020",8
"May 15, 2020",9
"May 14, 2020",9
"May 13, 2020",9
"May 12, 2020",9
"May 11, 2020",9
"May 10, 2020",9
"May 9, 2020",7
"May 8, 2020",7
"May 7, 2020",5
"May 6, 2020",5
"May 5, 2020",6
"May 4, 2020",6
"May 3, 2020",6
"May 2, 2020",9
"May 1, 2020",10
"April 30, 2020",10
"April 29, 2020",11
"April 28, 2020",12
"April 27, 2020",12
"April 26, 2020",13
"April 25, 2020",11
"April 24, 2020",11
"April 23, 2020",10
"April 22, 2020",10
"April 21, 2020",11
"April 20, 2020",12
"April 19, 2020",11
"April 18, 2020",11
"April 17, 2020",11
"April 16, 2020",11
"April 15, 2020",9
"April 14, 2020",10
"April 13, 2020",9
"April 12, 2020",9
"April 11, 2020",8
"April 10, 2020",8
"April 9, 2020",10
"April 8, 2020",11
"April 7, 2020",11
"April 6, 2020",10
"April 5, 2020",6
"April 4, 2020",4
"April 3, 2020",5
"April 2, 2020",5
"April 1, 2020",5
"March 31, 2020",4
"March 30, 2020",4
"March 29, 2020",3
"March 28, 2020",3
"March 27, 2020",2
"March 26, 2020",2
"March 25, 2020",2
"March 24, 2020",1
"March 23, 2020",1
"March 22, 2020",2
"March 21, 2020",1
"March 20, 2020",0
"March 19, 2020",0
"March 18, 2020",0
"March 17, 2020",0
"March 16, 2020",0
